bucket,tv_symbol,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mae_pct,reason,weeks_held
LOSS_RANDOM,NSE:RUPA,2017-09-29,9.26,0.22,15.54,2017-10-03,391.42,350.51,10.45,16.96,0.08,2018-03-26,326.9,-16.48,-1.58,19.01,-18.28,stop,24.9
LOSS_RANDOM,NSE:ZENSARTECH,2021-12-03,13.39,0.13,19.02,2021-12-06,414.49,357.48,13.75,21.3,0.12,2022-02-21,337.5,-18.57,-1.35,22.14,-21.33,stop,11.0
LOSS_RANDOM,NSE:GREENPLY,2018-02-09,15.88,0.57,21.17,2018-02-12,357.25,299.97,16.03,23.84,0.19,2018-04-02,300.94,-15.76,-0.98,2.72,-17.66,stop,7.0
LOSS_RANDOM,NSE:GODREJIND,2025-02-21,32.3,0.81,55.87,2025-02-24,1098.0,766.0,30.24,13.01,0.22,2026-02-23,1050.0,-4.37,-0.14,26.59,-14.5,time,52.0
LOSS_RANDOM,NSE:IDBI,2020-10-16,14.27,0.58,19.04,2020-10-19,36.34,31.56,13.15,17.41,0.1,2020-12-28,30.62,-15.74,-1.2,14.33,-19.92,stop,10.0
LOSS_RANDOM,NSE:KIOCL,2018-04-06,27.95,0.62,50.81,2018-04-09,283.57,202.55,28.57,23.09,0.15,2018-06-04,201.49,-28.95,-1.01,5.31,-34.35,stop,8.0
LOSS_RANDOM,NSE:EMAMILTD,2024-05-31,17.67,0.59,25.48,2024-06-03,615.54,495.31,19.53,28.93,0.18,2025-06-02,572.72,-6.96,-0.36,34.37,-19.65,time,52.0
LOSS_RANDOM,NSE:CANFINHOME,2020-01-24,18.11,0.68,30.47,2020-01-27,448.39,368.47,17.82,24.77,0.18,2020-03-23,285.6,-36.31,-2.04,10.19,-43.52,stop,8.0
LOSS_RANDOM,NSE:ATGL,2022-12-30,16.05,0.5,29.0,2023-01-02,3694.93,3095.85,16.21,26.44,0.16,2023-01-30,2497.57,-32.41,-2.0,8.11,-36.69,stop,4.0
LOSS_RANDOM,NSE:MANAPPURAM,2025-12-12,6.64,0.39,7.56,2025-12-15,286.61,267.62,6.63,13.19,0.06,2026-03-09,254.6,-11.17,-1.69,11.84,-13.02,stop,12.0
LOSS_RANDOM,NSE:PRAJIND,2019-05-17,10.7,0.43,16.74,2019-05-20,120.49,104.49,13.28,14.27,0.04,2019-07-29,98.96,-17.87,-1.35,15.98,-17.87,stop,10.0
LOSS_RANDOM,NSE:JYOTHYLAB,2024-05-10,10.5,0.5,16.09,2024-05-13,458.87,404.74,11.8,13.46,0.03,2024-06-03,410.68,-10.5,-0.89,1.41,-16.06,stop,3.0
LOSS_RANDOM,NSE:CSBBANK,2021-07-23,21.87,0.05,30.1,2021-07-26,350.0,274.4,21.6,34.51,0.22,2021-12-06,271.9,-22.31,-1.03,1.43,-24.89,stop,19.0
LOSS_RANDOM,NSE:JETAIRWAYS,2018-02-09,19.29,0.85,25.03,2018-02-12,797.0,639.0,19.82,31.54,0.25,2018-03-26,616.85,-22.6,-1.14,4.23,-24.07,stop,6.0
LOSS_RANDOM,NSE:UBL,2018-08-17,14.75,0.84,20.2,2018-08-20,1342.25,1149.12,14.39,24.92,0.16,2018-10-08,1095.94,-18.35,-1.27,6.47,-21.4,stop,7.0
LOSS_RANDOM,NSE:LTFOODS,2025-06-27,19.46,0.58,28.13,2025-06-30,479.98,386.52,19.47,23.08,0.16,2025-12-15,379.48,-20.94,-1.08,7.29,-24.74,stop,24.0
LOSS_RANDOM,NSE:KNRCON,2024-06-07,24.2,0.2,43.82,2024-06-10,377.84,282.43,25.25,40.1,0.25,2024-10-28,277.94,-26.44,-1.05,9.72,-27.5,stop,20.0
LOSS_RANDOM,NSE:SUVEN,2018-01-25,8.33,0.76,10.6,2018-01-29,7.54,6.81,9.68,17.47,0.04,2018-02-05,6.49,-13.93,-1.44,14.98,-16.56,stop,1.0
LOSS_RANDOM,NSE:TATAELXSI,2022-05-13,18.44,0.27,24.38,2022-05-16,7559.58,6108.44,19.2,25.88,0.32,2022-12-26,5574.47,-26.26,-1.37,35.86,-27.91,stop,32.0
LOSS_RANDOM,NSE:KIRLOSBROS,2024-11-01,19.24,0.93,24.83,2024-11-04,2008.59,1609.46,19.87,29.47,0.21,2025-03-03,1593.81,-20.65,-1.04,19.54,-27.81,stop,17.0
LOSS_RANDOM,NSE:JSL,2020-01-10,13.34,0.44,26.51,2020-01-13,43.07,36.73,14.72,22.51,0.16,2020-03-16,30.73,-28.65,-1.95,6.85,-38.36,stop,9.0
LOSS_RANDOM,NSE:HFCL,2018-02-09,23.94,0.7,35.12,2018-02-12,30.6,22.94,25.03,38.59,0.29,2018-09-17,22.94,-25.03,-1.0,13.17,-30.97,stop,31.0
LOSS_RANDOM,NSE:ELGIEQUIP,2024-08-23,12.96,0.84,17.58,2024-08-26,697.02,600.6,13.83,13.93,0.01,2024-10-28,597.67,-14.25,-1.03,7.59,-15.97,stop,9.0
LOSS_RANDOM,NSE:TANLA,2023-12-15,17.03,0.65,29.6,2023-12-18,1032.8,860.11,16.72,22.97,0.08,2024-03-18,814.42,-21.14,-1.26,14.34,-27.92,stop,13.0
LOSS_RANDOM,NSE:SUNTECK,2022-02-25,14.96,0.51,18.93,2022-02-28,473.83,406.83,14.14,16.9,0.17,2022-05-16,382.3,-19.32,-1.37,5.87,-21.22,stop,11.0
LOSS_RANDOM,NSE:BAJAJELEC,2018-02-09,25.51,0.75,36.25,2018-02-12,484.94,356.77,26.43,38.34,0.31,2019-02-11,434.22,-10.46,-0.4,29.81,-22.95,time,52.0
